c1,c2,c3,w1,w2,w3,l1,l2,l3,i1,i2,i3,r1,r2,r3
0.00027128,0.00027142,0.99999838,8.5e-07,8.5e-07,0.99999831,2.87e-06,2.87e-06,0.99999426,7e-08,7e-08,0.99999985,7e-08,7e-08,0.99999985
0.00025507,0.00025505,0.9999986,7.3e-07,7.3e-07,0.99999854,2.44e-06,2.44e-06,0.99999513,7e-08,7e-08,0.99999987,7e-08,7e-08,0.99999987
0.00023969,0.00023969,0.99999879,6.3e-07,6.3e-07,0.99999874,2.06e-06,2.06e-06,0.99999587,6e-08,6e-08,0.99999989,6e-08,6e-08,0.99999989
0.00022523,0.00022522,0.99999896,5.4e-07,5.4e-07,0.99999891,1.75e-06,1.75e-06,0.9999965,5e-08,5e-08,0.9999999,5e-08,5e-08,0.9999999
0.00021161,0.00021158,0.9999991,4.7e-07,4.7e-07,0.99999906,1.48e-06,1.48e-06,0.99999704,4e-08,4e-08,0.99999991,4e-08,4e-08,0.99999991
0.00019871,0.00019873,0.99999923,4.1e-07,4.1e-07,0.99999919,1.25e-06,1.25e-06,0.9999975,4e-08,4e-08,0.99999992,4e-08,4e-08,0.99999992
0.00018659,0.00018658,0.99999934,3.5e-07,3.5e-07,0.9999993,1.06e-06,1.06e-06,0.99999788,3e-08,3e-08,0.99999993,3e-08,3e-08,0.99999993
0.00017514,0.00017514,0.99999943,3e-07,3e-07,0.9999994,8.9e-07,8.9e-07,0.99999821,3e-08,3e-08,0.99999994,3e-08,3e-08,0.99999994
0.00016435,0.00016434,0.99999951,2.6e-07,2.6e-07,0.99999948,7.6e-07,7.6e-07,0.99999849,3e-08,3e-08,0.99999995,3e-08,3e-08,0.99999995
0.00015413,0.00015414,0.99999958,2.2e-07,2.2e-07,0.99999956,6.4e-07,6.4e-07,0.99999872,2e-08,2e-08,0.99999995,2e-08,2e-08,0.99999995
0.0001445,0.00014448,0.99999964,1.9e-07,1.9e-07,0.99999962,5.4e-07,5.4e-07,0.99999892,2e-08,2e-08,0.99999996,2e-08,2e-08,0.99999996
0.0001354,0.00013541,0.99999969,1.6e-07,1.6e-07,0.99999967,4.5e-07,4.5e-07,0.99999909,2e-08,2e-08,0.99999996,2e-08,2e-08,0.99999996
0.00012685,0.00012685,0.99999973,1.4e-07,1.4e-07,0.99999972,3.8e-07,3.8e-07,0.99999924,2e-08,2e-08,0.99999997,2e-08,2e-08,0.99999997
0.00011878,0.00011878,0.99999977,1.2e-07,1.2e-07,0.99999976,3.2e-07,3.2e-07,0.99999936,1e-08,1e-08,0.99999997,1e-08,1e-08,0.99999997
