c1,c2,c3,w1,w2,w3,l1,l2,l3,i1,i2,i3,r1,r2,r3
0.00011879,0.00011879,0.99999997,2e-08,2e-08,0.99999995,2e-08,2e-08,0.99999995,1e-08,1e-08,0.99999997,1e-08,1e-08,0.99999997
9.986e-05,9.986e-05,0.99999998,2e-08,2e-08,0.99999997,2e-08,2e-08,0.99999997,1e-08,1e-08,0.99999998,1e-08,1e-08,0.99999998
8.381e-05,8.381e-05,0.99999998,1e-08,1e-08,0.99999998,1e-08,1e-08,0.99999998,1e-08,1e-08,0.99999999,1e-08,1e-08,0.99999999
7.022e-05,7.022e-05,0.99999999,1e-08,1e-08,0.99999998,1e-08,1e-08,0.99999998,0.0,0.0,0.99999999,0.0,0.0,0.99999999
5.856e-05,5.856e-05,0.99999999,1e-08,1e-08,0.99999999,1e-08,1e-08,0.99999999,0.0,0.0,0.99999999,0.0,0.0,0.99999999
4.878e-05,4.879e-05,1.0,0.0,0.0,0.99999999,0.0,0.0,0.99999999,0.0,0.0,1.0,0.0,0.0,1.0
4.053e-05,4.053e-05,1.0,0.0,0.0,1.0,0.0,0.0,0.99999999,0.0,0.0,1.0,0.0,0.0,1.0
3.36e-05,3.36e-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2.776e-05,2.776e-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2.289e-05,2.289e-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.881e-05,1.881e-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.542e-05,1.542e-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.26e-05,1.26e-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.026e-05,1.026e-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8.69e-06,8.69e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
7.02e-06,7.02e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
5.67e-06,5.67e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
4.56e-06,4.56e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
3.9e-06,3.9e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
4.2e-06,4.2e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
3.46e-06,3.46e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
3.88e-06,3.88e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
3.02e-06,3.02e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2.34e-06,2.34e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.81e-06,1.81e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.4e-06,1.4e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.08e-06,1.08e-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8.3e-07,8.3e-07,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
6.4e-07,6.4e-07,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
4.9e-07,4.9e-07,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
3.7e-07,3.7e-07,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2.8e-07,2.8e-07,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2.1e-07,2.1e-07,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.6e-07,1.6e-07,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.2e-07,1.2e-07,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
9e-08,9e-08,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
7e-08,7e-08,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
5e-08,5e-08,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
4e-08,4e-08,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
3e-08,3e-08,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2e-08,2e-08,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
